scene,width,height,pair,method,trajectory,frame,trajectory_phase,repeat_count,min_ms,median_ms,max_ms
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,1,0.004166666666666667,12,1.2646874691238403,1.2748958022079466,1.2988020516242982
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,2,0.008333333333333333,12,1.263177052494049,1.2930468434314728,1.3166145511894225
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,3,0.0125,12,1.2691666356811524,1.315416634552002,1.3568228835411071
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,4,0.016666666666666666,12,1.2613020525398255,1.2926822601070405,1.3278645509147644
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,5,0.020833333333333332,12,1.2859374686050415,1.2948437183876038,1.3306770508460999
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,6,0.025,12,1.2895833018493652,1.3090103847084045,1.845416621612549
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,7,0.029166666666666667,12,1.3014583015594483,1.3187760094699859,1.3600520501289368
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,8,0.03333333333333333,12,1.2852083019561769,1.3158853845405578,1.3461458004684448
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,9,0.0375,12,1.300208301589966,1.317187467842102,1.3444791338424682
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,10,0.041666666666666664,12,1.30505205147171,1.3265364259471892,1.3516145503349304
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,11,0.04583333333333333,12,1.3103645513420106,1.3253385093097685,1.3786978830070495
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,12,0.05,12,1.3376562173423767,1.3582291335067749,1.883281204021454
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,13,0.05416666666666667,12,1.3319791341476441,1.3582551751728058,1.3749478830986024
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,14,0.058333333333333334,12,1.3457812171440124,1.370963508195877,1.3856770495033264
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,15,0.0625,12,1.35395830027771,1.3793749663238524,1.403697882396698
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,16,0.06666666666666667,12,1.3696874665603638,1.3932291326522828,1.4078645489616395
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,17,0.07083333333333333,12,1.3595312168083191,1.3880207994461058,1.4181249653778076
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,18,0.075,12,1.3843749662017821,1.400312465812683,1.440208298171997
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,19,0.07916666666666666,12,1.3665624666366578,1.3894530910778045,1.4445832980651856
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,20,0.08333333333333333,12,1.3679166332702637,1.396067674249649,1.4360937149391175
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,21,0.0875,12,1.3688020499153137,1.3982812158622742,1.4482291313095093
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,22,0.09166666666666666,12,1.345677050479889,1.374348924779892,1.4188020486946107
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,23,0.09583333333333334,12,1.3451041338272094,1.3874478827934265,1.4226041319351197
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,24,0.1,12,1.3561458002243043,1.389114549419403,1.4294270484352112
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,25,0.10416666666666667,12,1.3637499667053223,1.3951301742725373,1.4642187142524719
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,26,0.10833333333333334,12,1.3997916324920654,1.4093228822593689,1.457708297744751
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,27,0.1125,12,1.3761978830680848,1.426562465171814,1.4771353806037903
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,28,0.11666666666666667,12,1.3867187161445618,1.4245572568874358,1.5184895462608337
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,29,0.12083333333333333,12,1.387343716129303,1.4312239233913422,1.4859895470542908
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,30,0.125,12,1.4014062157859801,1.4555989227962494,1.5040103799476623
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,31,0.12916666666666668,12,1.418697882030487,1.4531510061893465,1.663229126060486
