scene,width,height,pair,method,trajectory,frame,trajectory_phase,repeat_count,min_ms,median_ms,max_ms
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,42,0.175,12,1.4571874644241334,1.5404426707248688,1.691666625366211
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,43,0.17916666666666667,12,1.4844791304244995,1.5373957957992554,1.87609370419693
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,44,0.18333333333333332,12,1.5138020463752746,1.544166628967285,1.9368749527130127
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,45,0.1875,12,1.511249963104248,1.5457812122612,1.895572870388031
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,46,0.19166666666666668,12,1.5180728796043397,1.536119754163742,1.864218704486847
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,47,0.19583333333333333,12,1.500520796699524,1.5370832958068847,1.96479161869812
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,48,0.2,12,1.4811978805046082,1.5468228789024354,2.034270783668518
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,49,0.20416666666666666,12,1.51661454630661,1.5643489201412202,1.9648957853622437
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,50,0.20833333333333334,12,1.5140624630355835,1.568854128364563,2.025520783882141
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,51,0.2125,12,1.5173957962875366,1.54872392052269,2.046354116706848
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,52,0.21666666666666667,12,1.5236978794670104,1.5628385035114287,1.9868749514923096
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,53,0.22083333333333333,12,1.5261457960739135,1.5672655867366792,2.0166666174316408
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,54,0.225,12,1.5064582965545654,1.5676041283950806,2.0134895341758727
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,55,0.22916666666666666,12,1.5277082960357666,1.5787499614562988,1.9851041182022096
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,56,0.23333333333333334,12,1.519322879573822,1.5825780863628387,2.062499949645996
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,57,0.2375,12,1.5421353790168761,1.5879426695652008,2.2270311956291198
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,58,0.24166666666666667,12,1.561041628555298,1.5931249611053468,1.8768228708457946
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,59,0.24583333333333332,12,1.553385378742218,1.6007030859203337,1.9768749517364501
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,60,0.25,12,1.5560416286773682,1.5970051693439484,1.88817703723526
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,61,0.25416666666666665,12,1.571770794960022,1.613906210597992,2.0592186997261046
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,62,0.25833333333333336,12,1.575364544872284,1.6135155856075287,2.0403124501876833
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,63,0.2625,12,1.5899999611816407,1.6321614184856414,2.0937499488830564
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,64,0.26666666666666666,12,1.6014582942352296,1.6350520434150695,2.0536978665275574
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,65,0.2708333333333333,12,1.588333294555664,1.6361978767204284,2.1063541152420044
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,66,0.275,12,1.5891666278686523,1.6252082936553955,2.1228645315055847
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,67,0.2791666666666667,12,1.5776562114830017,1.6119530856456756,2.11359369839859
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,68,0.2833333333333333,12,1.6191145438041687,1.6445572515163422,1.6714582925262451
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,69,0.2875,12,1.6061457941207886,1.6512760013523102,1.712239541530609
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,70,0.2916666666666667,12,1.605364544139862,1.641432251592636,1.983437451576233
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,71,0.29583333333333334,12,1.5995312109489441,1.6332030851268768,1.9879687014656067
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,72,0.3,12,1.6030728775291443,1.6462239181423186,1.6992187085151673
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,73,0.30416666666666664,12,1.6081770440711975,1.6380468350086212,1.6883853754463196
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,74,0.30833333333333335,12,1.598645794303894,1.6345832934265137,1.6682291259384154
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,75,0.3125,12,1.6017707942276,1.623307252035141,1.6773957923812866
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,76,0.31666666666666665,12,1.6166145438652038,1.63565100173378,2.095937448829651
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,77,0.32083333333333336,12,1.626249960296631,1.643463501543045,2.097031198802948
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,78,0.325,12,1.605364544139862,1.6243489186763762,1.9885416181182862
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,79,0.32916666666666666,12,1.6173957938461303,1.6493749597320555,2.1641145304985048
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,80,0.3333333333333333,12,1.6214582937469482,1.6349999600830079,2.0930207822341917
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,81,0.3375,12,1.5826562113609315,1.6330728767967224,2.1305207813186646
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,82,0.3416666666666667,12,1.6058853774604798,1.6363280850505828,2.0648957829208374
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,83,0.3458333333333333,12,1.5997395442771911,1.6326562101402282,2.1084895318565366
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,84,0.35,12,1.5951562110557556,1.6342447517681122,2.145624947616577
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,85,0.3541666666666667,12,1.5864582946014405,1.628255168581009,1.9605207854690552
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,86,0.35833333333333334,12,1.582083294708252,1.6352603767433167,2.071249949432373
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,87,0.3625,12,1.62151037707901,1.6402864182872774,2.0664061995506287
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,88,0.36666666666666664,12,1.5880207945632934,1.6547395429344176,1.8802603707618712
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,89,0.37083333333333335,12,1.5918749611358642,1.6227864187145233,1.679999958984375
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,90,0.375,12,1.5642187118110658,1.616770793861389,1.6638020427131652
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,91,0.37916666666666665,12,1.5888541278762818,1.6222916270599366,1.8809895374107362
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,92,0.38333333333333336,12,1.6129166272888185,1.6424218349018096,2.1139061983909606
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,93,0.3875,12,1.5864582946014405,1.6253905853176116,2.0973957821273803
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,94,0.39166666666666666,12,1.5676562117271424,1.6130989189510345,2.1198436982460023
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,95,0.3958333333333333,12,1.578072878139496,1.631796835161209,2.0957811988334654
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,96,0.4,12,1.5878645445671082,1.625989543636322,2.0689061994895934
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,97,0.4041666666666667,12,1.5907812111625672,1.6199739187831879,1.9416666192626952
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,98,0.4083333333333333,12,1.556510378665924,1.6221614187297821,1.9482812024345397
